count,mean,ci_lower,ci_upper,ci_width,fisher_info,se,ci_method,warning,year,half_year,has_ai_policy,domain_list
107540,0.12367953277325737,0.12054947716398536,0.1268791348486621,0.006329657684676734,383564.92157003836,0.0016146580374608427,fisher_logit,none,2023,H2,True,Life Sciences
79423,0.1360764700380216,0.1310944834392013,0.1412170166416865,0.010122533202485212,149988.08988951918,0.002582091409486396,fisher_logit,none,2025,H1,False,Health Sciences
96565,0.11087722785066138,0.10772285128679396,0.11411215916401646,0.0063893078772225,376452.88076744636,0.001629838931864533,fisher_logit,none,2024,H1,False,
140990,0.06810839567708434,0.06610907407181554,0.07016363954410904,0.004054565472293492,934886.6528857226,0.0010342380706070368,fisher_logit,none,2022,H2,True,Health Sciences
97011,0.14596799347354295,0.14128816958427887,0.15077560825700437,0.009487438672725501,170730.46389471024,0.0024201622909328546,fisher_logit,none,2025,H1,False,Physical Sciences
97645,0.21088489551502732,0.20660893013170736,0.21522534969944027,0.008616419567732903,206967.73291863053,0.002198106237978838,fisher_logit,none,2024,H2,True,Life Sciences
114416,0.07930900854559356,0.0769257363744404,0.08175957798705429,0.004833841612613882,657749.355326346,0.001233019044335989,fisher_logit,none,2022,H1,True,Life Sciences
130167,0.03409861815398976,0.03256189567845438,0.035705187902609584,0.0031432922241552003,1556148.2021213043,0.0008016310347464382,fisher_logit,none,2021,H2,True,Physical Sciences
123198,0.08551556641008516,0.08309374362622472,0.0880012002964315,0.0049074566702067834,638144.2376788312,0.0012518162186171793,fisher_logit,none,2023,H1,True,Life Sciences
142487,0.22990539295860135,0.22562175186447386,0.2342457613822244,0.008624009517750525,206600.97586070627,0.002200056406686876,fisher_logit,none,2025,H1,True,Life Sciences
83719,0.08992952302289059,0.08644337086738706,0.09354187163987268,0.007098500772485625,305043.2355432778,0.0018105865947502895,fisher_logit,none,2024,H1,False,Physical Sciences
143503,0.1011714842746317,0.09869962143195829,0.10369813065418391,0.004998509222225625,615070.4382148861,0.001275080408389882,fisher_logit,none,2023,H2,True,Health Sciences
148941,0.0774472630832668,0.0753469422999541,0.07960109082123801,0.004254148521283904,849188.6063979248,0.0010851703540991485,fisher_logit,none,2023,H1,True,Health Sciences
140073,0.036338186383272464,0.03479504644285212,0.037947073059292034,0.0031520266164399152,1547418.873445788,0.0008038889429788743,fisher_logit,none,2022,H2,True,Physical Sciences
118083,0.16673409291649602,0.16330541469803364,0.17022011268564133,0.0069146979876076875,321384.2982657461,0.0017639556940673646,fisher_logit,none,2024,H2,True,Physical Sciences
102757,0.15176289154991646,0.14829064380444065,0.1553016175837341,0.007010973779293439,312625.15235778014,0.0017884962826071903,fisher_logit,none,2024,H2,False,
144369,0.03350142865786742,0.03204558752505692,0.035021016162090086,0.0029754286370331645,1736613.4798487877,0.0007588368561985019,fisher_logit,none,2022,H1,True,Physical Sciences
152736,0.13862609374708965,0.1357712569034711,0.1415311281570832,0.005759871253612103,463185.00846634555,0.0014693415263763623,fisher_logit,none,2024,H1,True,Health Sciences
121385,0.16885572202780988,0.16548271628218206,0.1722832856750408,0.006800569392858752,332260.74856077094,0.0017348442077182585,fisher_logit,none,2024,H1,True,Life Sciences
184451,0.17867293058179415,0.1752273294750204,0.1821713197272909,0.006943990252270493,318674.7475097924,0.001771438889600194,fisher_logit,none,2025,H1,True,Health Sciences
161726,0.042359231362962636,0.04076573967487687,0.04401215310141692,0.00324641342654005,1458558.3688522612,0.0008280147881651674,fisher_logit,none,2023,H1,True,Physical Sciences
148518,0.08285362191692916,0.08058844722926269,0.0851765674940781,0.004588120264815421,730059.6604130977,0.0011703636480214791,fisher_logit,none,2023,H2,True,Physical Sciences
240786,0.19801559073397648,0.19402260678432576,0.2020701476636906,0.00804754087936485,237265.2696835148,0.0020529714700029044,fisher_logit,none,2025,H1,True,Physical Sciences
126615,0.17387886468505562,0.17030575152729344,0.17751090504866238,0.00720515352136894,295993.565662281,0.0018380565328371386,fisher_logit,none,2024,H2,True,Health Sciences
218444,0.04412542892998803,0.04279239032086785,0.04549801961575224,0.002705629294884389,2099572.06991764,0.0006901358795686923,fisher_logit,none,2021,H1,False,
166564,0.12707319287337643,0.12451135717990552,0.12967993106596423,0.005168573886058708,575229.2883833684,0.0013184980892582917,fisher_logit,none,2024,H1,True,Physical Sciences
