count,mean,ci_lower,ci_upper,ci_width,year,half_year,country_list
179,0.026448796429979,0.0035583497748235,0.1712795536442834,0.1677212038694599,2021,H1,GE
89,0.0123548125620192,0.0001340431029242,0.538587965520908,0.5384539224179838,2021,H1,GT
45,0.0,0.0,0.143141161256608,0.143141161256608,2021,H1,HN
23,0.0,0.0,0.3993538157024026,0.3993538157024026,2021,H1,HT
663,0.0611353117736663,0.0374651455114295,0.098233861679069,0.0607687161676394,2021,H1,GH
3938,0.0486865332932482,0.0394769625967132,0.0599105943771372,0.0204336317804239,2021,H1,CZ
6019,0.0327255304086528,0.0264622863011051,0.0404096622926644,0.0139473759915593,2021,H1,AT
46,0.0,0.0,0.3782052027633801,0.3782052027633801,2021,H1,JM
377,0.0356294667804598,0.0166546045076519,0.0745830272610201,0.0579284227533681,2021,H1,IS
495,0.0284006207272327,0.0115959660961153,0.0678856489149491,0.0562896828188337,2021,H1,IQ
1054,0.0527214111236265,0.0352394764850659,0.0781732209293193,0.0429337444442534,2021,H1,HR
17,0.1127901697176598,0.0076385568249662,0.6773836710049926,0.6697451141800264,2021,H1,KP
30,0.1160948511928312,0.0141088682017835,0.5465790361077443,0.5324701679059608,2021,H1,KN
42,0.078854636095663,0.020145376125202,0.2627751774700286,0.2426298013448265,2021,H1,KG
118,0.0651693811769666,0.0159311509321905,0.2308830504062939,0.2149518994741034,2021,H1,KH
1372,0.0747597313654862,0.0544850106299898,0.1017669631319912,0.0472819525020014,2021,H1,ID
10,0.1994214157363099,0.0334136192663005,0.6422120843710027,0.6087984651047023,2021,H1,KY
15,0.003560695200105,1.7622770257683686e-38,1.0,1.0,2021,H1,LR
11,0.0,0.0,0.725184088449501,0.725184088449501,2021,H1,LS
3691,0.054896059994862,0.0439796201750522,0.0683284711362894,0.0243488509612372,2021,H1,EG
37,0.0221617362418592,0.0001288141715923,0.7994814797449302,0.799352665573338,2021,H1,LA
61,0.0,0.0,0.0951194197108911,0.0951194197108911,2021,H1,LY
39,0.049371646525774,0.0071918136281466,0.2713271297528478,0.2641353161247011,2021,H1,LI
14,0.0,0.0,0.6434235250376851,0.6434235250376851,2021,H1,MV
11,0.1153926171266646,0.0074281678212932,0.6945362148070489,0.6871080469857557,2021,H1,MS
617,0.040590273964293,0.0220086428473856,0.0736782570630746,0.0516696142156889,2021,H1,JO
73,0.0261275368203541,0.0037519767210481,0.1604521547133262,0.1567001779922781,2021,H1,MG
32,0.099854938081263,0.0178512448982033,0.4037160242210372,0.3858647793228338,2021,H1,MQ
89,0.0382717628244185,0.0068816039043901,0.1860261528102887,0.1791445489058986,2021,H1,ML
58,0.0387900633509237,0.0056154982901134,0.2238336321814641,0.2182181338913506,2021,H1,MD
51,0.0686290316077851,0.0114823916401184,0.3185393981787958,0.3070570065386774,2021,H1,MC
53,0.0709592543094145,0.0149648145803767,0.2774556050678676,0.2624907904874908,2021,H1,MU
85,0.0483392925155672,0.0080737497583838,0.2406906205233026,0.2326168707649187,2021,H1,ME
24,0.0,0.0,0.2730938850888135,0.2730938850888135,2021,H1,NE
42,0.0,0.0,0.1339972951270544,0.1339972951270544,2021,H1,NC
96,0.050058382437782,0.0110701601196084,0.1987618361584296,0.1876916760388212,2021,H1,MN
30,0.0,0.0,0.4119157564653448,0.4119157564653448,2021,H1,NI
133,0.0,0.0,0.0696804081319838,0.0696804081319838,2021,H1,MZ
106,0.0584644272467735,0.0165964716914665,0.1859781725029532,0.1693817008114866,2021,H1,MM
60,0.1042628426652135,0.0345076199361406,0.2748793248223434,0.2403717048862028,2021,H1,
109,0.0692377030798296,0.0238972831988931,0.1843553418230248,0.1604580586241316,2021,H1,MK
312,0.050825795354199,0.0228703103921798,0.1091360090722858,0.086265698680106,2021,H1,KW
153,0.0710150772285662,0.0307486806259447,0.1555492850124787,0.1248006043865339,2021,H1,MT
