count,mean,ci_lower,ci_upper,ci_width,year,half_year,has_ai_policy,country_list
33,0.0365662385894487,0.0006094348017486,0.7025796322559774,0.7019701974542287,2021,H1,False,UZ
44,0.0,0.0,0.3652910285123774,0.3652910285123774,2021,H1,False,YE
46,0.0167768508814898,4.340429873099834e-05,0.8702573937669359,0.8702139894682049,2021,H1,False,VE
1271,0.0338703859128659,0.0207145819520358,0.054912908503633,0.0341983265515972,2021,H1,False,IE
1227,0.0398680954422626,0.0244739720774351,0.0643068209771808,0.0398328488997457,2021,H1,False,SA
47,0.0,0.0,0.2051689510213414,0.2051689510213414,2021,H1,False,ZW
41,0.130867870581583,0.0294065564485805,0.4280224944290684,0.3986159379804878,2021,H1,False,ZM
2223,0.0325566630717481,0.0217881151669608,0.0483842049501563,0.0265960897831955,2021,H1,False,HK
1149,0.0280563764412677,0.0165666998743525,0.0471327020382231,0.0305660021638706,2021,H1,False,MX
932,0.0396584917635883,0.0237910352173155,0.0653997841698796,0.041608748952564,2021,H1,False,NZ
1617,0.026637365864558,0.0168729344434128,0.0418121872731227,0.0249392528297099,2021,H1,False,NO
395,0.04218205822822,0.0186986012705426,0.0923817364655958,0.0736831351950532,2021,H1,False,VN
1757,0.0355490944609329,0.0242340694496484,0.0518663512102028,0.0276322817605544,2021,H1,False,PT
1358,0.0278792027924394,0.0170642829487483,0.0452329316990135,0.0281686487502651,2021,H1,False,TR
1726,0.0341165666600735,0.0217829498054568,0.0530547892236659,0.031271839418209,2021,H1,False,SG
2125,0.0499516992527629,0.0365955053223829,0.0678392290874466,0.0312437237650636,2021,H1,False,TW
93,0.0,0.0,0.2179276096443726,0.2179276096443726,2021,H1,True,AM
27,0.0624627487660771,0.0088544103616934,0.331939390154529,0.3230849797928355,2021,H1,True,AF
71,0.0335556461288704,0.0030691167645197,0.2813963977204952,0.2783272809559755,2021,H1,True,AL
1063,0.0421792096937478,0.0252960029825804,0.0695269233479334,0.044230920365353,2021,H1,False,ZA
14,0.0,0.0,0.7228048036776574,0.7228048036776574,2021,H1,True,BB
66,0.0,0.0,0.1675544784656741,0.1675544784656741,2021,H1,True,AZ
2520,0.041822985861539,0.0314067140634073,0.0554959574381977,0.0240892433747903,2021,H1,False,PL
115,0.0803159715910841,0.0272913023143605,0.2137266354160155,0.1864353331016549,2021,H1,True,BA
15,0.0,0.0,0.6516862966394807,0.6516862966394807,2021,H1,True,BI
10,0.0,0.0,0.7386680125107742,0.7386680125107742,2021,H1,True,BM
103,0.0,0.0,0.0504775163543778,0.0504775163543778,2021,H1,True,BJ
50,0.0,0.0,0.1878128419541133,0.1878128419541133,2021,H1,True,BO
64,0.0,0.0,0.176360591470541,0.176360591470541,2021,H1,True,BN
87,0.0045275408311357,2.571697709487159e-15,0.9999999998756764,0.9999999998756738,2021,H1,True,BF
86,0.1358803041751903,0.0579448214496421,0.2867336487758731,0.228788827326231,2021,H1,True,BH
20,0.0,0.0,0.136625819764738,0.136625819764738,2021,H1,True,BT
14,0.07470567953451,0.0012621882014836,0.8376075734993521,0.8363453852978685,2021,H1,True,BS
75,0.0,0.0,0.1187992955095913,0.1187992955095913,2021,H1,True,BW
122,0.0433724723193004,0.0120198029767619,0.1445414682848226,0.1325216653080607,2021,H1,True,BY
