count,mean,ci_lower,ci_upper,year,half_year,is_oa,domain_list
53635,0.12476275413129738,0.12199300521300892,0.12758624986397601,2024,H1,True,
30989,0.15951166645643056,0.15547722531670502,0.16363051237162482,2025,H1,False,
110076,0.0672339299547532,0.06576959191526263,0.06872847248972708,2022,H2,True,Health Sciences
114530,0.02805024287348901,0.027109691148553015,0.029022452936857485,2021,H1,False,Physical Sciences
92765,0.07960738961218322,0.07788286254190803,0.08136673270206014,2023,H2,False,Health Sciences
52964,0.07432906763247164,0.07212589845497638,0.07659397983414235,2024,H1,False,Social Sciences
32858,0.14767219017423372,0.14387736514773566,0.15154938750324112,2024,H2,True,Social Sciences
101536,0.08170531730257649,0.08003627687668415,0.08340600760649526,2023,H1,True,Life Sciences
106902,0.06931867263810784,0.06781151469923784,0.07085678201164834,2023,H1,False,Health Sciences
180909,0.043700810617636164,0.0427684407759399,0.04465255834905871,2021,H1,False,
92864,0.12613135487181362,0.12401150750604198,0.128282132234063,2023,H2,True,Life Sciences
81548,0.1028429050023506,0.10077678548757651,0.10494644029090708,2024,H1,False,
95781,0.036692075133064106,0.03551990423350254,0.03790140803629079,2022,H2,True,Physical Sciences
39803,0.09213741673392399,0.08933533330353835,0.09501821966380769,2024,H2,False,Social Sciences
32625,0.1582548911534148,0.1543347300806351,0.16225552089772025,2025,H1,True,Social Sciences
58541,0.1770168494777749,0.17394620408191303,0.18012988038332794,2024,H2,True,
49661,0.16106718959495767,0.15786041069728732,0.16432639980604444,2024,H2,False,Life Sciences
112995,0.07310589373658902,0.07160257948592924,0.07463823299509556,2023,H1,True,Health Sciences
77180,0.12316627651348286,0.12086655012085705,0.12550351312077695,2024,H2,False,Health Sciences
88334,0.14173555546594807,0.1394510989787541,0.1440511709239267,2024,H2,False,
100371,0.031045451754637444,0.02999028212245896,0.03213651622978015,2022,H2,False,Physical Sciences
84598,0.03180076774122579,0.030639449644045847,0.03300460425265273,2021,H2,True,Physical Sciences
74949,0.13320498090002592,0.13079109718880338,0.1356564623309368,2024,H1,False,Life Sciences
69976,0.10264917069294967,0.10042223420925397,0.104919731363735,2025,H1,False,Social Sciences
94027,0.08551037656145961,0.08373987082268122,0.08731474873800121,2023,H2,True,Physical Sciences
89137,0.1329542222016856,0.1307411286890603,0.13519895084850186,2024,H2,False,Physical Sciences
118877,0.02910419471218648,0.028163733610363513,0.030075088419005386,2022,H1,False,Physical Sciences
102138,0.18539459487978976,0.18302315396800484,0.18778969981977855,2024,H2,True,Health Sciences
98118,0.1730235960454979,0.1706695466501625,0.17540324761813567,2024,H1,True,Life Sciences
110336,0.1044246665859887,0.10263397881995372,0.10624289809929942,2023,H2,True,Health Sciences
98045,0.18758432447421605,0.18515302308290793,0.1900401061538094,2025,H1,True,Physical Sciences
116037,0.0649580441105045,0.06355437784486938,0.06639051395491093,2023,H2,False,Physical Sciences
113000,0.14772573233485267,0.14566886936364498,0.14980654576783858,2024,H1,True,Health Sciences
105492,0.1851798408026893,0.18284727346837767,0.18753533546116377,2025,H1,False,Life Sciences
110308,0.19207550405458376,0.1897615479405703,0.19441090626641258,2025,H1,True,Health Sciences
133017,0.036477820275770574,0.03548364394030988,0.037498768376412736,2023,H1,False,Physical Sciences
153566,0.1355115027215888,0.1338087573127188,0.13723248305913505,2025,H1,False,Health Sciences
85951,0.2127230649894662,0.21000007606526133,0.215471731641586,2024,H2,True,Life Sciences
106851,0.1288583530667655,0.12686278217020744,0.1308806092371749,2024,H1,True,Physical Sciences
239752,0.16877305095106532,0.1672790958640105,0.17027762012516254,2025,H1,False,Physical Sciences
96197,0.03309188768497867,0.03198003071390109,0.03424103348345749,2022,H1,True,Physical Sciences
86705,0.1594994385038088,0.1570774239540826,0.16195162342286304,2024,H2,True,Physical Sciences
143432,0.10540031358898504,0.10382173427625295,0.10700002901986709,2024,H1,False,Physical Sciences
93821,0.23464934010404864,0.23194856104803113,0.23737184759823216,2025,H1,True,Life Sciences
111552,0.10448625846685353,0.10270481322264026,0.10629494297942334,2024,H1,False,Health Sciences
104703,0.04251323732209914,0.041307856048838756,0.043752186918791985,2023,H1,True,Physical Sciences
