count,mean,ci_lower,ci_upper,ci_width,fisher_info,se,ci_method,warning,year,half_year,domain_list
150645,0.07197839653089133,0.06996508577106858,0.07404502968454216,0.004079943913473577,923269.8856645796,0.0010407242274623018,fisher_logit,none,2022,H2,Life Sciences
86421,0.04249908244720297,0.040285775047083625,0.04482830941655584,0.0045425343694722176,745247.0534261621,0.001158376840884192,fisher_logit,none,2023,H1,Social Sciences
135612,0.19332131357888005,0.18981191264648323,0.19687983192219977,0.007067919275716539,307593.9515667992,0.0018030638421225305,fisher_logit,none,2024,H2,Life Sciences
89068,0.09012214295051243,0.08689833547649833,0.09345330861320038,0.006554973136702044,357710.5698567532,0.0016719916854380761,fisher_logit,none,2024,H1,Social Sciences
197498,0.06489688038255682,0.06324019794718623,0.06659387711960243,0.0033536791724162046,1366417.4974575478,0.0008554769111421902,fisher_logit,none,2021,H2,Health Sciences
135183,0.11172015902637042,0.10905434040444287,0.11444277264748969,0.005388432243046817,529266.5899474983,0.0013745570196119568,fisher_logit,none,2024,H1,
162002,0.04254597227834928,0.04101988665514515,0.04412622124747585,0.0031063345923307006,1593010.5291524658,0.000792301862492841,fisher_logit,none,2021,H2,
171514,0.08048531778700921,0.07848068282929761,0.08253657104254827,0.004055888213250661,934210.2735043331,0.001034612403213796,fisher_logit,none,2023,H1,Life Sciences
173067,0.1553842433059283,0.15261869699371813,0.1581905477899557,0.005571850796237565,494961.11451202485,0.0014213939400298191,fisher_logit,none,2024,H1,Life Sciences
199313,0.21500860591775947,0.21144729579265895,0.21861326867155043,0.00716597287889148,299229.9258117642,0.0018280896403669714,fisher_logit,none,2025,H1,Life Sciences
205998,0.06275398225469396,0.061157137709221494,0.06438966166428443,0.0032325239550629395,1470765.3665836996,0.0008245714671003165,fisher_logit,none,2021,H1,Health Sciences
207360,0.0663438961150561,0.06473336982353987,0.06799157839651411,0.003258208572974236,1447642.4702571083,0.0008311307338885541,fisher_logit,none,2022,H1,Health Sciences
194668,0.065823629252733,0.06414125212168287,0.06754694891388591,0.003405696792203039,1324995.0489820363,0.0008687461086135378,fisher_logit,none,2022,H2,Health Sciences
179318,0.15754707082884659,0.15467849827975805,0.1604587439826596,0.00578024570290156,459914.9751059009,0.0014745558438842242,fisher_logit,none,2024,H2,Health Sciences
175842,0.14623224027572132,0.14352988739661426,0.1489766224406741,0.005446735044059847,517965.64490554336,0.0013894711133577034,fisher_logit,none,2024,H2,Physical Sciences
149980,0.11519627919494846,0.11261580168293384,0.11782803451529049,0.005212232832356653,565646.7739471451,0.0013296193987758986,fisher_logit,none,2023,H2,Life Sciences
203101,0.09329556637386947,0.09128738312333304,0.09534329148996365,0.004055908366630612,934159.1453131161,0.0010346407159147278,fisher_logit,none,2023,H2,Health Sciences
201851,0.02969979750307849,0.02850353717214241,0.030944664310481602,0.002441127138339192,2579823.7767369524,0.0006225940694329123,fisher_logit,none,2021,H1,Physical Sciences
146875,0.15589523357018714,0.1529719528826588,0.15886390042138218,0.00589194753872338,442643.09871316294,0.0015030490424488927,fisher_logit,none,2024,H2,
337797,0.17821066324557985,0.17514828874636507,0.18131481195760232,0.006166523211237257,404094.7549635873,0.001573107469757188,fisher_logit,none,2025,H1,Physical Sciences
184448,0.030412418355036344,0.02918108646294555,0.03169401157133537,0.0025129251083898206,2434519.665427286,0.0006409045524975519,fisher_logit,none,2021,H2,Physical Sciences
279346,0.04514630738167588,0.043960362174591615,0.046362695015883144,0.0024023328412915296,2663011.9868834387,0.0006127924972350468,fisher_logit,none,2021,H1,
210064,0.07410075594883563,0.07227139210155423,0.07597263340801415,0.003701241306459921,1121820.3809571257,0.0009441442162953035,fisher_logit,none,2023,H2,Physical Sciences
250283,0.11582655894267585,0.11374164063050383,0.11794460843155807,0.004202967801054239,869896.4250549363,0.001072176358925646,fisher_logit,none,2024,H1,Physical Sciences
196152,0.03381629020505944,0.03255535010224686,0.035124296122779966,0.0025689460205331055,2329303.0919662374,0.0006552197782342894,fisher_logit,none,2022,H2,Physical Sciences
224552,0.12554604529643512,0.12328459839437061,0.1278429256287991,0.0045583272344284775,739548.1700933927,0.0011628314430104268,fisher_logit,none,2024,H1,Health Sciences
263874,0.1664184603893021,0.16356126489942108,0.1693154639750954,0.0057541990756743155,464084.26758163795,0.0014679172597546392,fisher_logit,none,2025,H1,Health Sciences
237720,0.03919345351586775,0.03789846578154735,0.04053082676238854,0.0026323609808411932,2218207.2436670093,0.0006714272147865609,fisher_logit,none,2023,H1,Physical Sciences
219897,0.07121710321484051,0.06956157831000703,0.07290894122864569,0.0033473629186386578,1371533.635372615,0.0008538798569616478,fisher_logit,none,2023,H1,Health Sciences
215074,0.03094359621266878,0.029769813450704598,0.03216212545784389,0.0023923120071392898,2686020.639123471,0.000610162239357881,fisher_logit,none,2022,H1,Physical Sciences
