year,half_year,Publisher,count,alpha,ci_lower,ci_upper
2021,H1,"E H ANGLE EDUCATION RESEARCH FOUNDATION, INC",33,0.25362807512088353,0.09048947165259079,0.5371719987059163
2021,H1,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",231,0.05872931212355352,0.02661833082454833,0.12461798477552448
2021,H1,CURRENT BIOLOGY LTD,300,0.0,0.0,0.07916476156167651
2021,H1,COLL AMER PATHOLOGISTS,96,0.03489325964487457,0.008845374690413256,0.1277596562208022
2021,H1,DUKE UNIV PRESS,309,0.0,0.0,0.01617584123903412
2021,H1,COMPANY BIOLOGISTS LTD,283,0.14472917646729125,0.08816254844443167,0.22849508210120814
2021,H1,CENTERS DISEASE CONTROL & PREVENTION,416,0.02069647077991452,0.006780665122731793,0.0614057059682185
2021,H1,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,190,0.04150599241226091,0.011903444659607361,0.13469158292688713
2021,H1,EDIZIONI MINERVA MEDICA,175,0.07460434163933762,0.0329712763688279,0.1601040725186399
2021,H1,Chinese Center for Disease Control and Prevention,187,0.02263102818495619,0.005745382382710743,0.0849055492939486
2021,H1,CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS,385,0.06515844470900273,0.03786850713628242,0.10986909020960238
2021,H1,CSIRO PUBLISHING,225,0.03822522295408365,0.01479049586107516,0.09520293340070912
2021,H1,DE GRUYTER POLAND SP Z O O,358,0.02044482074877526,0.005479684506836364,0.07326905237206682
2021,H1,CHURCHILL LIVINGSTONE,904,0.07406171784361196,0.0527575881995006,0.10303295821236903
2021,H1,CHINESE CHEMICAL SOC,187,0.04194694178922609,0.02073528362580754,0.08301802708493798
2021,H1,DOVE MEDICAL PRESS LTD,762,0.10516900580928695,0.07642177174447125,0.14305499782664508
2021,H1,EDP SCIENCES S A,1249,0.0068182498542361325,0.002897170194794223,0.0159612356453103
2021,H1,COPERNICUS GESELLSCHAFT MBH,1771,0.026298111946322335,0.01782280272734004,0.03864512318737153
2021,H1,ELSEVIER ESPANA,50,0.0,0.0,0.29154403910417337
2021,H1,ELSEVIER - DIVISION REED ELSEVIER INDIA PVT LTD,122,0.014868467217398098,0.00026612422910739437,0.46113262002563693
2021,H1,ELSEVIER ESPANA SLU,91,0.0440248149186784,0.011367953218150276,0.15571889575820277
2021,H1,ELSEVIER ADVANCED TECHNOLOGY,591,0.08344361176395032,0.05435492953117429,0.12602483256546113
2021,H1,"ELSEVIER MASSON, CORP OFF",187,0.022787377930509608,0.006299529496427997,0.07899840764993668
2021,H1,ELSEVIER INC,377,0.13485691963341892,0.09583429645027021,0.18649175058136336
2021,H1,ELSEVIER GMBH,792,0.08473641112291344,0.060104496629828134,0.11819351709883208
2021,H1,AMER PHYSICAL SOC,5083,0.006931837223408033,0.0038532016772651846,0.012439527812106003
2021,H1,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,2158,0.0794354188612287,0.06345688721295896,0.0990120083477113
2021,H1,ELSEVIER SINGAPORE PTE LTD,137,0.0,0.0,0.08516993792487917
2021,H1,EQUINOX PUBLISHING LTD,11,0.0,0.0,1.0
2021,H1,"ETHNICITY & DISEASE, INC",43,0.0,0.0,0.3083389944503489
2021,H1,"ESMON PUBLICIDAD S A, DEPT ALLERGY & CLIN IMMUNOL, CLIN UNIV NAVARRA",28,0.0,0.0,0.29359068720620424
2021,H1,EUROPEAN ASSOC GEOCHEMISTRY,18,0.10753832388319648,0.012705212171090335,0.5301343778157568
2021,H1,EUROPA EDITION,109,0.0,0.0,0.0971211385244907
2021,H1,FINNISH SOC SCIENCE & TECHNOLOGY STUDIES,13,0.10576913994235174,0.0031314684775922315,0.8166339431915489
2021,H1,FEDERAL RESERVE BANK ST LOUIS,16,0.09959554744523316,0.01369762873342495,0.4683640804153055
2021,H1,FRANZ STEINER VERLAG GMBH,29,0.0,0.0,0.48499314158566187
2021,H1,EUROPEAN MATHEMATICAL SOC-EMS,190,0.0,0.0,0.06854188419066277
2021,H1,EUR CENTRE DIS PREVENTION & CONTROL,93,0.015044643198037796,0.00031069397157199247,0.4287979322001349
2021,H1,EXCLI JOURNAL MANAGING OFFICE,39,0.14685115941584395,0.04823227256465189,0.36894713481971797
2021,H1,"FORUM MULTIMEDIA PUBLISHING, LLC",49,0.17256632822464218,0.0657512249265913,0.38196169858107737
2021,H1,ELSEVIER TAIWAN,280,0.05214711125473581,0.022175677857736255,0.11774840145349788
2021,H1,ELSEVIER SCIENCE LONDON,535,0.047013230124274885,0.023693612177560115,0.09114176627792062
2021,H1,FOUNDATION REHABILITATION INFORMATION,85,0.1084358794281046,0.038374186853824696,0.2704390280955415
2021,H1,EXCERPTA MEDICA INC-ELSEVIER SCIENCE INC,152,0.06262736975847445,0.024613381490723823,0.15030469194140436
2021,H1,FERRATA STORTI FOUNDATION,133,0.09142172148729168,0.03585587531047961,0.21398624825980025
2021,H1,ENDOCRINE SOC,426,0.05938646678655095,0.03349379733221298,0.10315923804222125
2021,H1,GEOMETRY & TOPOLOGY PUBLICATIONS,25,0.0,0.0,0.46445471720756826
2021,H1,GUILFORD PUBLICATIONS INC,12,0.0,0.0,0.6879735998424829
2021,H1,HARVARD GRADUATE SCHOOL EDUCATION,10,0.0,0.0,0.9098942213521445
2021,H1,FUTURE MEDICINE LTD,95,0.26509733740283575,0.13289796471321014,0.45916441572538136
2021,H1,"GEOLOGICAL SOC AMER, INC",225,0.0,0.0,0.04978061530859816
2021,H1,GLOBAL SCIENCE PRESS,44,0.016844984192734124,0.0004688478751415364,0.3849323901889174
2021,H1,GEOSCIENCEWORLD,37,0.05465964893807461,0.009711872350570461,0.25422738191632605
2021,H1,HANLEY & BELFUS-ELSEVIER INC,44,0.10949459760692405,0.026557126485465685,0.35656902785843453
2021,H1,HONG KONG ACAD MEDICINE PRESS,29,0.0,0.0,0.20899891401412812
2021,H1,HUMANA PRESS INC,68,0.0,0.0,0.15355051892729996
2021,H1,HARBORSIDE PRESS,131,0.13637703796800393,0.059107052286736586,0.2841544150509474
2021,H1,EUROPEAN RESPIRATORY SOC JOURNALS LTD,546,0.03055955637421457,0.01227400635430253,0.07404438525736134
2021,H1,HIGHER EDUCATION PRESS,217,0.044775424438970035,0.016944233112041542,0.11306229656440381
2021,H1,HUMAN KINETICS PUBL INC,115,0.02673693842155969,0.004664072444508119,0.1387124472795175
2021,H1,ELSEVIER IRELAND LTD,3953,0.0718219107047854,0.06024665001478386,0.08541899213777306
2021,H1,INDERSCIENCE ENTERPRISES LTD,15,0.0,0.0,0.6977826902643625
2021,H1,INST BADAN GOSPODARCZYCH,18,0.0,0.0,0.5121970716180042
2021,H1,INDIANA UNIV MATH JOURNAL,60,0.0,0.0,0.3250475724262954
2021,H1,IGI GLOBAL,109,0.0014423752053164028,4.1307351596825793e-32,1.0
2021,H1,INST MATHEMATICS & INFORMATICS,23,0.0,0.0,0.5128993322408116
2021,H1,INT COUNCIL RESEARCH & INNOVATION BUILDING & CONSTRUCTION,16,0.0,0.0,0.5464288620121046
2021,H1,INST ECONOMIC RESEARCH-POLAND,16,0.1266330900617239,0.02187957184123354,0.4844938699277671
2021,H1,INT SCIENTIFIC RESEARCH PUBLICATIONS,43,0.0,0.0,0.37157668740806726
2021,H1,"INT PRESS BOSTON, INC",55,0.0,0.0,0.33614698412970345
2021,H1,INT SOC BAYESIAN ANALYSIS,22,0.0,0.0,0.4348382439370592
2021,H1,INT RHINOLOGIC SOC,23,0.1541390366512777,0.028089294328672847,0.5346631760731491
2021,H1,INST MATHEMATICAL STATISTICS-IMS,138,0.0,0.0,0.14351836328314235
2021,H1,INT PRESS EDITING CENTRE INC,42,0.2609858459408324,0.11174586965317367,0.4978322177409794
2021,H1,HINDAWI LTD,633,0.014665786174829944,0.004794275234243857,0.04396501824234527
2021,H1,INT SOC ENVIRON INFORM SCI,16,0.19430931927820325,0.033400813240718,0.627312957357969
2021,H1,INFORMS,407,0.0,0.0,0.021064902756775875
2021,H1,INT UNION AGAINST TUBERCULOSIS LUNG DISEASE (I U A T L D),54,0.10524797589696828,0.024074543919356674,0.35934145748275853
2021,H1,INT SOC GLOBAL HEALTH,112,0.10076528484249897,0.04242554058748143,0.22082804443487988
2021,H1,CAMBRIDGE UNIV PRESS,7858,0.038189740184289535,0.03165784225404312,0.046005322274792836
2021,H1,INT SOC AGING & DISEASE,124,0.08909443237824899,0.03649615842603362,0.20163362284877434
2021,H1,"INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES",161,0.04812110971050248,0.0112017492576303,0.1840698645022746
2021,H1,IVAN FRANKO DROHOBYCH STATE PEDAGOGICAL UNIV,17,0.0,0.0,0.36114015991279125
2021,H1,IRCA-BSSA,37,0.1252434532890512,0.03137231041890106,0.3875986087362385
2021,H1,IOS PRESS,52,0.0,0.0,0.18623149173818784
2021,H1,Inst Navigation - ION,20,0.2919998608666782,0.09079035208431017,0.6300988138883878
2021,H1,JAPAN ACAD,17,0.0,0.0,0.6999478837174161
2021,H1,J O S P T,11,0.0,0.0,0.7233568683709117
2021,H1,J A S S S,34,0.0,0.0,0.41674589995822897
2021,H1,JAPANESE SOC ALLERGOLOGY,18,0.0,0.0,0.43611221292625396
2021,H1,JAPAN PROSTHODONTIC SOC,56,0.0,0.0,0.29417914258910816
2021,H1,JAPAN EPIDEMIOLOGICAL ASSOC,61,0.048206619849395664,0.00332461438049565,0.43471686211240834
