count,mean,ci_lower,ci_upper,year,half_year,is_oa,country_list
3851,0.042849981155997675,0.03689625301711762,0.04971483520811101,2021,H1,False,DK
244,0.018256012257244433,0.007459519194978864,0.04398624320046417,2021,H1,False,LU
278,0.018313215764712103,0.007903884056227096,0.04185319158677045,2021,H1,False,MA
267,0.023392803609369343,0.010924489026260926,0.04938096058701441,2021,H1,False,LB
363,0.08366240175947244,0.05935510473895994,0.11668923524835023,2021,H1,False,NG
1702,0.03241111906644041,0.02499467756181311,0.04193352818233976,2021,H1,False,GR
11,0.0,0.0,0.2588329669680317,2021,H1,False,PF
93,0.0,0.0,0.03966750261173514,2021,H1,False,OM
557,0.046433031831850956,0.03185003538503093,0.06722940214125511,2021,H1,False,MO
118,0.10656539194534051,0.06279450696293906,0.17514495633960092,2021,H1,False,NP
54,0.0,0.0,0.0664135880908964,2021,H1,False,PS
91,0.01909990883927831,0.004840269205605388,0.07231630683649667,2021,H1,False,PA
23,0.0,0.0,0.14311661845042686,2021,H1,False,RE
31,0.08162025095038938,0.025805673502043866,0.22969207776694045,2021,H1,False,PY
139,0.06173233469482926,0.03232880707884413,0.11470867097030786,2021,H1,False,PR
41,0.0,0.0,0.08566757018443186,2021,H1,False,RW
2579,0.042186872244199404,0.03508567292703225,0.0506498820370665,2021,H1,False,IL
1958,0.03924558878336084,0.03150808696048389,0.0487874862562368,2021,H1,False,IR
30,0.0,0.0,0.11351339317396876,2021,H1,False,SD
235,0.013691567270261284,0.004828657889837929,0.03819777264888953,2021,H1,False,PE
2307,0.034002994996330985,0.02734775212912981,0.04220755081917037,2021,H1,False,IE
843,0.0731099265412528,0.0574070565306605,0.09268573078545844,2021,H1,False,MY
344,0.04210238840988152,0.025457609021111695,0.06886094103880075,2021,H1,False,PH
6786,0.036319787772375274,0.03212443327062565,0.04103981091389974,2021,H1,False,CH
12,0.0,2.7755575615628914e-17,0.24249400665524085,2021,H1,False,SL
35,0.0,6.938893903907228e-18,0.09890099232440402,2021,H1,False,SN
13,0.0,0.0,0.22809537235419838,2021,H1,False,SV
23,0.0,0.0,0.14311661845042686,2021,H1,False,SY
13,0.0,0.0,0.22809537235419838,2021,H1,False,TG
