year,month,Publisher,count,alpha,ci_lower,ci_upper
2023,2,Accscience Publishing,15,0.0,0.0,0.46400591324275964
2023,2,ASSOC RESEARCH VISION OPHTHALMOLOGY INC,21,0.2706276851308544,0.07835311452784069,0.6182332140866077
2023,2,AMER PSYCHOLOGICAL ASSOC,89,0.042712338766992375,0.007564390357444443,0.20709565477963435
2023,2,BENTHAM SCIENCE PUBL LTD,16,0.0,0.0,0.6726824951110829
2023,2,AMER SPEECH-LANGUAGE-HEARING ASSOC,62,0.047263407600562336,0.007177425025945166,0.2539618073884773
2023,2,BIOSCIENTIFICA LTD,13,0.4610720892205658,0.17424749916706816,0.7762184398132221
2023,2,AMER SOC MICROBIOLOGY,156,0.10019996873419955,0.04087457236389036,0.2253955488475598
2023,2,BAISHIDENG PUBLISHING GROUP INC,52,0.19498130863712215,0.06967633178533172,0.4392388481299907
2023,2,ASCE-AMER SOC CIVIL ENGINEERS,62,0.07478405829780604,0.021111789195583337,0.23249808057869878
2023,2,AMER SOC NEPHROLOGY,72,0.1273628990927876,0.05528661871963757,0.2668608992146204
2023,2,AMER PHYTOPATHOLOGICAL SOC,102,0.032817468378473096,0.0054725677091816945,0.1730257936486237
2023,1,SAGE PUBLICATIONS INC,1584,0.058075599259171926,0.041391469505093176,0.08091712139890088
2023,2,ASSOC COMPUTING MACHINERY,119,0.05192893257039592,0.0119052480912081,0.1993586790169959
2023,1,LIPPINCOTT WILLIAMS & WILKINS,3651,0.0569429509189176,0.04713813188879698,0.06864027899498228
2023,2,AIP Publishing,504,0.018765330382662586,0.008017269378067524,0.04329353089531281
2023,2,BRAZILIAN SOC UROL,14,0.0,0.0,0.6418130823983349
2023,2,BRITISH EDITORIAL SOC BONE & JOINT SURGERY,25,0.0,0.0,0.3250334059589446
2023,2,AMER GEOPHYSICAL UNION,373,0.0275896722560824,0.010812803960304363,0.06859209004941365
2023,2,C EJ PUBLISHING GROUP,17,0.02351141080124049,1.1368465586525766e-06,0.9980428302701149
2023,2,AMER MEDICAL ASSOC,526,0.03510612547389186,0.015537691787262192,0.07738220821391162
2023,2,"CHINA UNIV GEOSCIENCES, BEIJING",12,0.0,0.0,0.673528826232804
2023,2,CENTERS DISEASE CONTROL & PREVENTION,51,0.0,0.0,0.4561947775461939
2023,2,"CHINA UNIV GEOSCIENCES, WUHAN",21,0.0,0.0,0.5131718294811797
2023,2,CHINESE CHEMICAL SOC,14,0.0,0.0,0.516081091469137
2023,1,NATURE PORTFOLIO,3433,0.04128004377626377,0.031731313978982455,0.05354332444882716
2023,2,CHINESE LASER PRESS,24,0.020032405572034503,5.704991284015805e-05,0.8798690224698285
2023,2,COGITATIO PRESS,25,0.0,0.0,0.48014807092869005
2023,2,CMA-CANADIAN MEDICAL ASSOC,24,0.14029296913920217,0.01975967543435974,0.5691629701932107
2023,2,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",20,0.0,0.0,0.36180504025824844
2023,2,COLL AMER PATHOLOGISTS,13,0.0,0.0,0.661262215138346
2023,2,COLL FAMILY PHYSICIANS CANADA,10,0.0,0.0,0.5882356403466307
2023,2,COMPANY BIOLOGISTS LTD,45,0.20571826475592744,0.07536776703772588,0.4514422995139981
2023,2,CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS,88,0.15127715339922512,0.07449272139668342,0.2830063634827188
2023,2,CSIRO PUBLISHING,16,0.0,0.0,0.4249360823654529
2023,2,CURRENT MEDICINE GROUP,14,0.24589387506471816,0.025353233550537563,0.8034349340855917
2023,2,CHURCHILL LIVINGSTONE,91,0.07657215471401281,0.024747410181332922,0.21320011985760035
2023,2,DUKE UNIV PRESS,64,0.0,0.0,0.2544187926699424
2023,2,EDITURA ASE,15,0.15402895775163244,0.025291305278170306,0.5609427323414956
2023,2,DOVE MEDICAL PRESS LTD,94,0.045701602791656824,0.005304528796624653,0.3007328788973409
2023,2,CURRENT BIOLOGY LTD,49,0.11120587389848481,0.02569045059696855,0.3725354118341427
2023,2,EDIZIONI MINERVA MEDICA,33,0.058786359640661215,0.008334478789043667,0.31701242312770106
2023,2,ACADEMIC PRESS INC ELSEVIER SCIENCE,1153,0.02942888670770563,0.01754973715900528,0.04894823708778086
2023,2,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,34,0.06910267658769448,0.00830321936267796,0.39691476978614243
2023,2,EDP SCIENCES S A,178,0.01623584033359932,0.004134621621869079,0.06156536272807692
2023,2,COPERNICUS GESELLSCHAFT MBH,223,0.02804152371906402,0.009138356421245018,0.08278014204084537
2023,2,CAMBRIDGE UNIV PRESS,577,0.03691045535222937,0.018544842514516217,0.07212753168065561
2023,1,WILEY-V C H VERLAG GMBH,1766,0.042508462354618394,0.028304194051860538,0.06337612227904514
2023,2,BMJ PUBLISHING GROUP,652,0.04200870620585922,0.02327820029529429,0.07465845993931441
2023,2,AMER PHYSICAL SOC,812,0.010525145088522217,0.0035971139495395775,0.03038958105076972
2023,2,ELSEVIER - DIVISION REED ELSEVIER INDIA PVT LTD,11,0.0,0.0,0.7748810854471445
2023,2,ELSEVIER ESPANA,18,0.029658707926782643,1.1802777581659973e-05,0.9875238237339539
2023,2,ELSEVIER ADVANCED TECHNOLOGY,82,0.10779232485851427,0.035748560254621246,0.28249018104425766
