year,half_year,is_oa,country_list,count,mean,ci_lower,ci_upper
2021,H1,False,GP,14,0.5,0.26799202452413634,0.7320079754758637
2021,H1,False,GR,1702,0.5434782608695652,0.5197426999345914,0.5670180006186226
2021,H1,False,GT,44,0.45454545454545453,0.31705234142220895,0.5993381680103802
2021,H1,False,GU,6,1.0,0.6096657120978346,1.0
2021,H1,False,GW,3,0.6666666666666666,0.2076596008020477,0.9385080552796037
2021,H1,False,GY,4,0.5,0.15003898915214947,0.8499610108478506
2021,H1,False,HK,3820,0.5599476439790576,0.544153852199859,0.5756209880837262
2021,H1,False,HN,20,0.65,0.4328542766852363,0.8188081758989179
2021,H1,False,HR,378,0.5714285714285714,0.5210685041231604,0.6203514458392594
2021,H1,False,HT,8,0.5,0.21521606221387757,0.7847839377861224
2021,H1,False,HU,1084,0.4981549815498155,0.46844946536581694,0.5278735282399458
