year,half_year,country_list,count,mean,ci_lower,ci_upper
2023,H2,CA,19809,0.5939219546670705,0.5870654830641093,0.6007420057170321
2023,H2,CD,136,0.5367647058823529,0.4531024006562899,0.6184071508338879
2023,H2,CF,13,0.46153846153846156,0.23206067809538303,0.7085620428549398
2023,H2,CG,73,0.6027397260273972,0.4880741402294003,0.7071329814235315
2023,H2,CH,11463,0.580040129111053,0.5709797118562898,0.5890469185449227
2023,H2,CI,120,0.5583333333333333,0.4690452309131966,0.6440025330046214
2023,H2,CL,2672,0.563248502994012,0.5443649590517795,0.581950446850095
2023,H2,CM,305,0.5868852459016394,0.5308787508233016,0.640730333664188
2023,H2,CN,118189,0.6414640956434186,0.6387254530646008,0.6441935425976738
2023,H2,CO,1671,0.5655296229802513,0.5416394869000777,0.5891191582520457
2023,H2,CR,196,0.5714285714285714,0.5014301440339961,0.6386809228348798
2023,H2,CU,94,0.5106382978723404,0.41116886151084975,0.6092723709084791
2023,H2,CV,13,0.46153846153846156,0.23206067809538303,0.7085620428549398
2023,H2,CW,13,0.8461538461538461,0.5776536898051745,0.9567418216419186
2023,H2,CY,789,0.6083650190114068,0.5738594824505854,0.6418204597340131
2023,H2,CZ,3775,0.5785430463576159,0.5627190673196627,0.5942073363048663
2023,H2,DE,32091,0.5925648935838709,0.5871781941953937,0.5979294346309585
2023,H2,DJ,4,0.75,0.30064184258240184,0.9544127391902995
2023,H2,DK,7468,0.5780664167113015,0.5668280871932757,0.5892244744712264
2023,H2,DM,2,0.5,0.09453120573423074,0.9054687942657693
2023,H2,DO,68,0.6029411764705882,0.48416055016632126,0.7107129981971936
2023,H2,DZ,410,0.5975609756097561,0.5493999095344071,0.6439108337342168
2023,H2,EC,577,0.5944540727902946,0.5538945821947262,0.6337641986046111
2023,H2,EE,637,0.5698587127158555,0.53110562271536,0.6077742808473431
2023,H2,EG,4457,0.632488220776307,0.6182254566783172,0.646522800102864
2023,H2,ER,4,0.5,0.15003898915214947,0.8499610108478506
2023,H2,ES,21399,0.581522501051451,0.5748989146947571,0.5881168235058399
2023,H2,ET,1296,0.6682098765432098,0.6421108163130249,0.6933147058083953
2023,H2,FI,4730,0.6038054968287526,0.5897880259400292,0.6176544937434749
2023,H2,FJ,56,0.8214285714285714,0.7015881796334894,0.900001432475877
2023,H2,FK,11,0.7272727272727273,0.43435469882387084,0.902539407099751
2023,H2,FM,5,0.8,0.37553462976252533,0.9637758913675698
2023,H2,FO,22,0.5454545454545454,0.3465979532073493,0.7307970581918668
