year,half_year,has_ai_policy,domain_list,count,mean,ci_lower,ci_upper
2024,H2,False,Social Sciences,22036,0.6407696496641859,0.63441101875602,0.6470792093652472
2024,H2,True,Health Sciences,126607,0.601443838018435,0.5987439198386302,0.6041376004485131
2024,H2,True,Life Sciences,97641,0.648252271074651,0.6452513344585956,0.6512415428656958
2024,H2,True,Physical Sciences,118081,0.6795504780616696,0.6768830373573025,0.6822062367286272
2024,H2,True,Social Sciences,50598,0.7112731728526819,0.7073086507459505,0.7152056171863508
2025,H1,False,Health Sciences,45837,0.6741278879507822,0.6698226858891946,0.6784039062064094
2025,H1,False,Life Sciences,36867,0.6951202972848347,0.690400974506952,0.699798962103341
2025,H1,False,Physical Sciences,62366,0.6342879132860854,0.6304997912335435,0.6380594933216222
2025,H1,False,Social Sciences,19044,0.7142932157109851,0.7078344526282021,0.7206655439538427
2025,H1,True,Health Sciences,116245,0.7289603853929201,0.7263976244913407,0.731508014240175
2025,H1,True,Life Sciences,90438,0.7585638780158783,0.7557637964753554,0.7613419948888558
2025,H1,True,Physical Sciences,93887,0.7521275575958333,0.7493553965357845,0.7548790875141217
2025,H1,True,Social Sciences,37993,0.7731161003342721,0.768877268977751,0.7772997079294268
