year,half_year,has_ai_policy,country_list,count,mean,ci_lower,ci_upper
2021,H1,False,BS,9,0.5555555555555556,0.26665129349549305,0.8112214789023355
2021,H1,False,BT,3,0.0,5.551115123125783e-17,0.5614970317550454
2021,H1,False,BW,16,0.3125,0.14164643854782039,0.5559564416525933
2021,H1,False,BY,77,0.33766233766233766,0.24199921857053475,0.44875351691077503
2021,H1,False,BZ,1,1.0,0.20654931437723745,1.0
2021,H1,False,CA,8391,0.5131688714098439,0.5024707891689768,0.5238549015643235
2021,H1,False,CD,37,0.6216216216216216,0.46100430439217654,0.7593600082420173
2021,H1,False,CF,3,0.3333333333333333,0.06149194472039621,0.7923403991979522
2021,H1,False,CG,14,0.6428571428571429,0.38764423103907397,0.8365526824644587
2021,H1,False,CH,4249,0.5293010120028242,0.5142731324100884,0.5442759582181447
2021,H1,False,CI,18,0.6111111111111112,0.3861904160223791,0.7969475342783638
2021,H1,False,CL,1035,0.46570048309178746,0.43549378460031263,0.49616084912926517
2021,H1,False,CM,70,0.5428571428571428,0.4269825920547558,0.6542725740243641
2021,H1,False,CN,30838,0.43054024255788315,0.4250228178271884,0.4360749701982154
2021,H1,False,CO,444,0.4346846846846847,0.3893303393978379,0.4811595429977491
2021,H1,False,CR,66,0.5151515151515151,0.39710591285717234,0.6315303732939324
2021,H1,False,CU,51,0.45098039215686275,0.3226751854937402,0.5861529144963119
2021,H1,False,CV,1,0.0,0.0,0.7934506856227626
2021,H1,False,CW,2,1.0,0.34238022750665303,1.0
2021,H1,False,CY,179,0.547486033519553,0.47433529664645935,0.6186414281600916
2021,H1,False,CZ,1305,0.4521072796934866,0.4252841762421172,0.4792115140818822
2021,H1,False,DE,12306,0.5074760279538436,0.4986420148691274,0.5163053750396315
2021,H1,False,DJ,1,1.0,0.20654931437723745,1.0
2021,H1,False,DK,2364,0.5084602368866328,0.4883102098554548,0.5285828130498549
2021,H1,False,DM,1,0.0,0.0,0.7934506856227626
2021,H1,False,DO,9,0.5555555555555556,0.26665129349549305,0.8112214789023355
2021,H1,False,DZ,123,0.3008130081300813,0.22680688692369216,0.38688409033582144
2021,H1,False,EC,117,0.46153846153846156,0.37386916338626497,0.5516530862800992
2021,H1,False,EE,197,0.5279187817258884,0.45834072520779123,0.5964288431103743
2021,H1,False,EG,834,0.5059952038369304,0.472114019856852,0.5398214124313466
2021,H1,False,ER,2,0.5,0.09453120573423074,0.9054687942657693
2021,H1,False,ES,7070,0.4777934936350778,0.46616531335456257,0.4894457924600215
2021,H1,False,ET,144,0.5277777777777778,0.4465800439053784,0.6075319762533418
2021,H1,False,FI,1434,0.5083682008368201,0.48250528348025623,0.5341864038074956
2021,H1,False,FJ,16,0.5625,0.331785563988119,0.7690134759450765
2021,H1,False,FK,1,0.0,0.0,0.7934506856227626
2021,H1,False,FO,6,0.5,0.18761630648265054,0.8123836935173494
2021,H1,False,FR,8175,0.4625076452599388,0.45171966746201186,0.47333084206475085
2021,H1,False,GA,14,0.2857142857142857,0.11721378644576919,0.5464908432989318
2021,H1,False,GB,17784,0.5291835357624831,0.5218419716561002,0.5365124949273239
2021,H1,False,GD,7,0.2857142857142857,0.08221892400405678,0.6410655481673808
2021,H1,False,GE,60,0.48333333333333334,0.36175049539732784,0.6069218996740751
2021,H1,False,GF,10,0.6,0.31267376973365824,0.8318196702937638
2021,H1,False,GH,128,0.640625,0.5545225368033344,0.7185326942447414
2021,H1,False,GI,3,0.6666666666666666,0.2076596008020477,0.9385080552796037
2021,H1,False,GL,20,0.6,0.38658150076225317,0.7811934676271829
2021,H1,False,GM,24,0.5,0.3142742581957335,0.6857257418042665
2021,H1,False,GN,5,0.4,0.11762077423264783,0.769275718723987
2021,H1,False,GP,9,0.3333333333333333,0.1205838183869109,0.6457978644196036
2021,H1,False,GR,1194,0.5485762144053601,0.5202388237419083,0.5766020387493639
2021,H1,False,GT,26,0.4230769230769231,0.2554444331365656,0.6105138625340828
2021,H1,False,GU,6,0.8333333333333334,0.43649717781352987,0.9699466302516935
2021,H1,False,GW,2,1.0,0.34238022750665303,1.0
2021,H1,False,GY,4,0.5,0.15003898915214947,0.8499610108478506
2021,H1,False,HK,2222,0.4936993699369937,0.47294024094810677,0.5144802467559748
2021,H1,False,HN,10,0.6,0.31267376973365824,0.8318196702937638
2021,H1,False,HR,325,0.5415384615384615,0.4871966659608753,0.5949097694527996
